id,date,text,prediction,annotation
1200721232959803392,Sat Nov 30 10:20:24 +0000 2019,"In der Politik denken viele die ""#Flüchtlingskrise"" sei überstanden.

Die wirkliche Krise steht uns noch bevor. Was passiert mit Migranten, die sich nicht assimilieren oder integrieren, gesellschaftlich auf der Strecke bleiben &amp; keinen Job finden? #BAMF

https://www.welt.de/politik/deutschland/article203847362/Hans-Eckhard-Sommer-BAMF-Praesident-warnt-vor-dauerhafter-Fluechtlings-Armut-in-Deutschland.html?fbclid=IwAR1iWHPQm8IUO4Wow4h3JglLuLEKeaR9P3GwQca3OzlvrU5u1qIM0tqRsYk",1,2
1200799657129119744,Sat Nov 30 15:32:02 +0000 2019,"@SocialM85897394 Simple solution is to have @jeremycorbyn on 24 hour standby to be a first responder to any terrorist or hostage situation.
Let him talk his way out of that.

#ExitEU #BritishIndependence

#LoveEurope and #Leaveeu",0,2
1202252128745639938,Wed Dec 04 15:43:38 +0000 2019,Die Wahrheit tut manchmal weh. Die sicheren Häfen in #Afrika sicherlich nicht. Besser als noch mehr Migranten heimlich in D einzufliegen. #EUSolidarität #Alankurdi #oocpanther,0,1
1204707643958480897,Wed Dec 11 10:20:59 +0000 2019,@welt #Migrationskrise ?? .. 2015 hieß sie noch #Flüchtlingskrise .. #Relotius 😁😂🤣,1,2
1205584263388815361,Fri Dec 13 20:24:21 +0000 2019,@polenz_r Genau ! Schluss mit #Transferunion und dem #Euro ! Und #Target2 !,2,1
1209069767400869889,Mon Dec 23 11:14:30 +0000 2019,"So eine PR Aktion gabs doch schon mal.
Wirt hilft Schwangerer obwohl er ausgebucht ist.
2000 Jahre später wird das immernoch gefeiert.

#Habeck
#menschlichkeit
#refugeeswelcome

https://www.bild.de/politik/inland/politik-inland/heftige-kritik-nach-habeck-vorstoss-pr-aktion-kurz-vor-weihnachten-hilft-nicht-66888346.bild.html",1,2
1211950816673837056,Tue Dec 31 10:02:46 +0000 2019,"@Nasobeem @schweizok2 Weshalb ist derzeit eine offene Diskussion über #Remigration (noch) nicht möglich? 
https://www.youtube.com/watch?v=2M0cLbJHrbU",1,2
1168303722083962880,Sun Sep 01 23:24:48 +0000 2019,"A day of protest to support the #Biloela family’s right to remain in Australia, and the Murdoch trolls are out in force - coincidence - I’ll leave it to the immortal bard to answer that ...

The Murdoch press doth protest too much, methinks ...

#RefugeesWelcome",0,2
1169889180328939520,Fri Sep 06 08:24:50 +0000 2019,"#Bremen setzt Zeichen gegen #Seenotrettung und #refugeeswelcome! 

Wer dafür verantwortlich ist? @DieLinkeBremen, @GrueneBremen und @SPDFraktionHB. 

Und wer droht wieder Jugendliche und junge Erwachsene zu vermöbeln? Richtig, @BremenPolizei.

#BreakingBordersFestival #kaltland",0,2
1170662475055927297,Sun Sep 08 11:37:38 +0000 2019,"Neue #Flüchtlingswelle? #Kroatien holt 1.800 Polizisten zur #Grenzsicherung aus dem Ruhestand
https://www.anti-spiegel.ru/2019/neue-fluechtlingswelle-kroatien-holt-1-800-polizisten-zur-grenzsicherung-aus-dem-ruhestand/",2,1
1172049412027273216,Thu Sep 12 07:28:50 +0000 2019,"@galottom @the99100 @feldenfrizz @neus533 @PeterSchlusche Können wir v Griechenland lernen. Die mussten + haben solidar. substaatl. System ohne Geld aufgebaut, nachdem sie v d #EU mit d Diktatur / d Krieg d faschistischen #Austerität geschlagen worden waren. Ärzte reduzierten Arbeit + schaffen in priv.-öff. kostenfreier Versorgung uvm",1,2
1172486662829555712,Fri Sep 13 12:26:18 +0000 2019,"#Deutschland soll jeden vierten geretteten #Flüchtling aus dem Mittelmeer aufnehmen? Geht’s noch? Manche in #Partei &amp; #Regierung wollen es einfach nicht verstehen. Wir müssen jedes Menschenleben retten, aber aus der Rettung darf kein Bleiberecht werden. ⁦ https://www.focus.de/politik/ausland/kurz-vor-eu-treffen-in-malta-offenbar-einigung-mit-italien-jeder-vierte-mittelmeerfluechtling-soll-nach-deutschland_id_11138734.html",0,1
1173621517755850753,Mon Sep 16 15:35:49 +0000 2019,I had a chance to have a quick chat with @tconnellyRTE when leaving the #GAC earlier. #Brexit #EUSolidarity https://twitter.com/EUCouncilTVNews/status/1173609151118884864,0,2
1174225222213545984,Wed Sep 18 07:34:43 +0000 2019,"Ex-#Regierungschef #Renzi spaltet italienische #Regierungspartei #PD
#Italien #Parteien #Lega #Salvini #Italy #NoAsyl
http://www.berlinertageszeitung.de/politik/48587-ex-regierungschef-renzi-spaltet-italienische-regierungspartei-pd.html",1,2
1177190658278350848,Thu Sep 26 11:58:18 +0000 2019,"media.
Anyway, who reads this post which is responsible for my case. I must tell you FUCK YOU ASSHOLE 🖕🏾
⠀
#LAGeSo #Jobcenter #Bezirksamt #Berlin #Germany #Refugees #RefugeesWelcome",0,1
1256858246603816966,Sun May 03 08:08:51 +0000 2020,Das Bremer Landgericht will bald über die Anklage gegen die ehemalige Leiterin der örtlichen #Bamf-Außenstelle und zwei Rechtsanwälte entscheiden. Ihnen werden 121 Straftaten zur Last gelegt. #Migration #Asylrecht https://www.zeit.de/politik/deutschland/2020-05/landgericht-bremen-leiterin-migrationsamt-manipulation-asylverfahren,1,2
1258096937968025604,Wed May 06 18:10:58 +0000 2020,"Es war eine große Freude, gestern über „Europa in der Corona-Krise: Geht es nur zsm?“ mit Staatsminister Michael Roth @MiRo_SPD, moderiert von @StockhorstTimo, zu diskutieren! Replay auf der FB-Seite @JEFSaarland. @DPZ_Berlin #EuropeDirectSaarbrücken #EUSolidarität #EuropaWoche🇪🇺",0,2
1258158305735819267,Wed May 06 22:14:50 +0000 2020,"A ICE detainee from Otay Mesa Detention Center has died from #COVID19. 

#USA #US #ICE #asylumseekers",0,2
1258704254891671552,Fri May 08 10:24:14 +0000 2020,"➡️➡️❗️❗️#Corona-#Lockerungen, Grenzen auf – #Flüchtlingswelle kann beginnen – erleben wir bald unser Blaues Wunder! @HolgerEwald1 @artep21 - http://realerirrsinn.de/corona-lockerungen-grenzen-auf-fluechtlingswelle-kann-beginnen-erleben-wir-bald-unser-blaues-wunder",2,1
1261402222870450176,Fri May 15 21:05:00 +0000 2020,"Die Völker tun das auch nicht. Sondern die Regierungen der Europäischen Länder.

#Massenmigration #Migrationskrise https://twitter.com/Matt816/status/1261393332590297088",1,2
1262078484853202944,Sun May 17 17:52:13 +0000 2020,"The @AISS_Afg will be organizing a virtual roundtable discussion on ""#AsylumSeeker/#Refugee Rights and State Responsibilities in International Law"". The roundtable will be accompanied by Dr. Haibatullah Najandimanesh; @rasouli_murtaza; M. Azim Besharat &amp; @LailumaNasiri. 1/2",0,2
1262485246877921281,Mon May 18 20:48:33 +0000 2020,@couriermail @AnnastaciaMP for gods sake premier grow up and stop treating us like kids. There will have to be some pain from Covid. You’re are DESTROYING QLD economy. #opentheborders,0,2
1264073623909916674,Sat May 23 06:00:11 +0000 2020,#Westminster @HouseofCommons #Parliament #Tories @Conservatives @BorisJohnson 💪 @pritipatel 👍@ukhomeoffice Our @UKBorder 🇬🇧 Force officers need greater powers to repel the invasion of #Gimmegrants #BenefitsMigrants #illegals #refugees #AsylumSeekers &amp; return them to #France 🇫🇷 https://twitter.com/DennisWheatle10/status/1264071799349948418,0,1
1264804867534721025,Mon May 25 06:25:54 +0000 2020,"@Ricarda_Lang @annewill Was für eine ahnungslose #ClownTruppe doch da bei den #Grünen unterwegs ist. Das passiert, wenn einem Journalisten nie kritische Fragen stellen... #AnneWill #EU #SchuldenUnion",1,2
1265213624454459392,Tue May 26 09:30:09 +0000 2020,"#EUsolidarity with #covid19: watch tonight 21:50 CET on @Euronews the new episode of #SmartRegions
EU #cohesionpolicy project ""The Good Support Program""🇵🇱 is revealing to be extremely useful at time of social distancing.
#cohesionpolicy
@RegioPoland https://eu.smh.re/J_e",0,2
1180163766396305408,Fri Oct 04 16:52:22 +0000 2019,"@EUTheurer Mein du nicht, dass Sie zusammen mit #Macron und @Lagarde an der #solidarunion basteln wird? Offene Frage. Du und @Lambsdorff kennt sie noch gut aus dem @Europarl_DE 
#schuldenunion #schwarzeNull",0,2
1185447413563179008,Sat Oct 19 06:47:42 +0000 2019,Dazu wird es leider nicht kommen. Es wird alles in einer grossen Katastrophe enden. Darauf sollte man sich vorbereiten und überlegen wie es danach weiter geht. #Asylkrise #Euro #EZB #Negativzinsen #Altersarmut #CO2Steuer #FFF #F4F #XR https://twitter.com/lawyerberlin/status/1185446157146841089,2,1
1186660581652226048,Tue Oct 22 15:08:24 +0000 2019,Man geht mir dieses Türken - Kurden Gedöne auf den Keks...#Wirschaffendas https://www.derwesten.de/227428575?utm_source=Facebook&utm_medium=Social&utm_campaign=share,1,2
1245302507854839812,Wed Apr 01 10:50:29 +0000 2020,"Vor 15 Jahren habe ich die Intercessio GmbH gegründet - bisher war mir nicht nach Congrats zumute. Das  @_intercessio -Team sieht es anders.

Danke für die Blumen @Anna_Dollhaeubl  @U_KeuT @Caro_Sauer @CaroMatthiae  💕
#Astimegoesby #IntercessioFamily #Wirschaffendas",0,2
1246529646767665153,Sat Apr 04 20:06:41 +0000 2020,"""For now, we do not know the motive behind this attack,"" the mayor's office of Romans-sur-Isere said in a statement.

Police told French media the suspect, age 33, was an asylum seeker from Sudan who had been living in the area.

#AsylumSeeker
#NothingToSeeHere 
@PrisonPlanet https://twitter.com/UPI/status/1246524834302984192",0,1
1248294666623205382,Thu Apr 09 17:00:15 +0000 2020,#Coronakrise: Das von der @EU_Commission vorgelegte Instrument zur Finanzierung von #Kurzarbeit in den Mitgliedsstaaten setzt Fehlanreize und ebnet den Weg in eine #Transferunion. Daher lehnt die #vbw das #EU-Kurzarbeiterprogramm '#SURE' entschieden ab. https://fcld.ly/0pv5xxq,2,1
1249425312296906752,Sun Apr 12 19:53:02 +0000 2020,"It’s a bit more serious than this...
@FineGael supported by @fiannafailparty ran #austerity policies that resulted in record numbers of #homeless and a growing #WealthDivide in a country with a 3rd world public health system.
Nothing they have done will survive #EU collapse. https://twitter.com/VillageMagIRE/status/1249422532991729664",0,1
1249620922413260800,Mon Apr 13 08:50:19 +0000 2020,#Greece is bracing for an influx of migrants from #Turkey after satellite images appeared to show that Ankara was releasing tens of thousands of refugees from its deportation centres | The Times https://www.thetimes.co.uk/article/thousands-of-migrants-driven-towards-greece-l8pbvvg58 #RefugeeCrisis #HumanRights #AsylumSeekers #EUTurkeyDeal,0,2
1251650344968429575,Sat Apr 18 23:14:31 +0000 2020,"„Dat ist hier wie Cars, ich red hier mit Autos und alle fangen an zu blinken..“ #wirschaffendas",1,2
1251939321789190144,Sun Apr 19 18:22:48 +0000 2020,"@GottfriedCurio Jene die glauben, etwas Gutes zu tun, müssen sich eingestehen, dass es diese erwiesene Steigerung der #FLÜCHTLINGE, #ASYLSUCHENDE #MIGRANTEN durch ihr Vorgehen gibt. Es darf nicht darum gehen, was gut aussieht, sondern was funktioniert.Hilfe vor Ort wäre eine gute Perspektive.",0,2
1235196778351296515,Wed Mar 04 13:33:55 +0000 2020,.@MargSchinas refuses to answer if it is legal for #Greece to use rubber bullets against #asylumseekers at the border with #Turkey (de facto saying it is a proportionate use of force),0,2
1235219408953446402,Wed Mar 04 15:03:51 +0000 2020,"Unkontrollierte Massenmigration keine Option. Geregelte #Zuwanderung. Hilfe für #Flüchtlinge in #Syrien, #Türkei und #Griechenland. #EU bleibt damit ihren moralischen Werten treu. 
Existenzbedrohend für die EU @LadurnerUlrich @zeitonline https://www.eurotopics.net/de/236230/fluechtlinge-reichen-die-eu-millionen-fuer-athen?zitat=236334#zitat236334 via @eurotopics",1,2
1237109738963218433,Mon Mar 09 20:15:20 +0000 2020,"Just know that the Media is the #1 enemy of us, The People. Put the fear down &amp; refill with courage. Put on our Armour &amp; rise. We must unite. Media silence continues as France #GiletJaunes #YellowVests battle  Macron &amp; austerity. #ExitUN #ExitEU https://twitter.com/BasedPoland/status/1237093546433204225",0,1
1238385959131021313,Fri Mar 13 08:46:35 +0000 2020,"@ltc_hicks Aber die Hilfe Chinas in #Griechenland, einen #EU-Land, das von d-EU-tsch vernichtet worden war, hat wohl zur Vermeidung weiterer China-Hilfen in EU dafür gesorgt, dass zB gg #Italien keine HARTE #Austerität gefahren werden konnte.",1,2
1244294924381622276,Sun Mar 29 16:06:42 +0000 2020,@YlvaJohansson Everyone has the right to be safe. Evacuate the greek camps immediately! #LeaveNoOneBehind #RefugeesWelcome #seebruecke,0,1
1245059111307415555,Tue Mar 31 18:43:18 +0000 2020,"➡️Mit #Corona in die #Schuldenunion?
Dr. @Gunnar_Beck macht deutlich, wie die #EU sich trotz ihres Versagens in der #Coronakrise diese zu Nutze macht, um die Schuldenvergemeinschaftung voranzutreiben:
Unseren Kanal JETZT abonnieren:
https://www.youtube.com/channel/UCmzLzI-ROdjxWtBOuJTelug/about?sub_confirmation=1
https://www.youtube.com/watch?v=m9Fo9EqLRrE",2,1
