Date,Solidary,Anti-Solidary,Other,10 most common hashtags
2019-10-11,0,2,8,eurobonds: 5	eurozone: 2	transferunion: 2	austerity: 1	swn: 1	southwesternenergy: 1	teva: 1	jaguar: 1	landrover: 1	ussteel: 1	
2019-10-12,1,2,1,exiteu: 3	britishindependence: 2	justdoit: 2	loveeurope: 2	leaveeu: 2	freedom: 1	liberty: 1	biafrans: 1	karma: 1	austerity: 1	
2019-10-13,0,0,5,eurobonds: 2	exiteu: 2	britishindependence: 2	justdoit: 2	loveeurope: 2	leaveeu: 2	recession: 1	eurozone: 1	banks: 1	fed: 1	
2019-10-14,0,3,5,eurobonds: 4	exiteu: 3	britishindependence: 3	justdoit: 3	loveeurope: 3	leaveeu: 3	remain: 2	netflix: 2	nflx: 2	turkey: 2	
2019-10-15,0,4,4,exiteu: 3	britishindependence: 3	justdoit: 3	loveeurope: 3	leaveeu: 3	eurobonds: 3	chemours: 2	chemourscompany: 2	chukapromise: 1	alamsynergy: 1	
2019-10-16,3,2,4,resceu: 3	eusolidarity: 3	eurobonds: 2	exiteu: 2	britishindependence: 2	justdoit: 2	loveeurope: 2	leaveeu: 2	forestfires: 2	jaguar: 1	
2019-10-17,0,3,13,eu: 10	austerity: 6	exiteu: 5	britishindependence: 5	loveeurope: 5	leaveeu: 5	brexit: 4	justdoit: 4	eurobonds: 3	uk: 3	
2019-10-18,2,5,6,justdoit: 8	exiteu: 7	britishindependence: 7	loveeurope: 6	leaveeu: 6	eu: 4	austerity: 3	deal: 1	fbpe: 1	fiscalunion: 1	
2019-10-19,2,3,2,eu: 5	austerity: 5	uk: 2	exiteu: 2	britishindependence: 2	leaveeu: 2	syria: 1	yemen: 1	tory: 1	neoliberal: 1	
2019-10-20,1,5,4,exiteu: 5	britishindependence: 5	justdoit: 5	loveeurope: 5	leaveeu: 5	eu: 5	uk: 3	brexit: 2	eurokrise: 2	austerity: 2	
2019-10-21,1,5,8,exiteu: 7	britishindependence: 6	justdoit: 6	loveeurope: 5	leaveeu: 5	eurobonds: 3	remain: 2	choplogic: 2	eu: 2	economics: 2	
2019-10-22,2,6,7,eu: 12	austerity: 10	uk: 6	referendum: 5	climateemergency: 5	exiteu: 3	britishindependence: 3	justdoit: 3	loveeurope: 3	leaveeu: 3	
2019-10-23,0,5,11,exiteu: 6	eurobonds: 5	eu: 5	britishindependence: 5	loveeurope: 5	leaveeu: 5	eurokrise: 3	austerity: 2	remain: 2	cashcow: 2	
2019-10-24,2,2,4,exiteu: 5	britishindependence: 4	loveeurope: 4	leaveeu: 4	austerity: 2	trump: 2	eurokrise: 1	whataboutery: 1	cdnpoli: 1	ukpoli: 1	
2019-10-25,1,3,13,exiteu: 6	eu: 5	austerity: 5	leaveeu: 5	britishindependence: 4	loveeurope: 4	eurobonds: 3	remain: 2	privatisation: 2	inequality: 2	
2019-10-26,0,3,10,exiteu: 6	britishindependence: 5	loveeurope: 5	leaveeu: 5	eurobonds: 3	eu: 3	austerity: 3	eurozone: 2	brexit: 2	nigeria: 1	
2019-10-27,0,3,4,britishindependence: 6	exiteu: 5	loveeurope: 5	leaveeu: 5	eurocrisis: 1	chukapromise: 1	eu: 1	institutionalisedausterity: 1	institutionalised: 1	austerity: 1	
2019-10-28,1,7,8,exiteu: 8	britishindependence: 8	loveeurope: 8	leaveeu: 8	eu: 6	austerity: 4	eurobonds: 3	choplogic: 2	brexit: 1	workersrights: 1	
2019-10-29,2,6,10,exiteu: 7	britishindependence: 7	loveeurope: 7	leaveeu: 7	eurobonds: 4	eu: 3	migration: 2	bruttobelastung: 2	infrastrukturkrise: 2	digitalisierung: 2	
2019-10-30,3,4,10,exiteu: 10	britishindependence: 10	loveeurope: 10	leaveeu: 10	austerity: 3	eu: 3	eusolidarity: 2	turkey: 1	uk: 1	voteconservative: 1	
2019-10-31,2,0,3,eurobonds: 3	eu: 2	austerity: 2	ge2019: 1	brexit: 1	us: 1	generalelection19: 1	generalelection2019: 1	education: 1	nhs: 1	
2019-11-01,0,7,3,exiteu: 7	britishindependence: 6	loveeurope: 6	leaveeu: 6	midden: 6	brexit: 2	eu: 2	austerity: 2	eurobonds: 1	nhs: 1	
2019-11-02,0,2,6,exiteu: 4	britishindependence: 4	loveeurope: 4	leaveeu: 4	midden: 4	euro: 3	projectfemi: 2	löhne: 2	deutschland: 2	frankreich: 2	
2019-11-03,0,4,9,austerity: 7	eu: 6	exiteu: 4	europe: 4	britishindependence: 3	loveeurope: 3	leaveeu: 3	britain: 3	tories: 3	brexit: 3	
2019-11-04,1,0,4,austerity: 3	eu: 3	brexit: 2	europe: 1	britain: 1	ireland: 1	suicide: 1	borisjohnson: 1	conservative: 1	police: 1	
2019-11-05,0,5,8,exiteu: 6	britishindependence: 5	loveeurope: 5	leaveeu: 5	midden: 5	eu: 5	eurokrise: 4	remain: 3	euro: 3	eurobonds: 2	
2019-11-06,1,2,9,britishindependence: 4	exiteu: 3	eurobonds: 3	austerity: 3	eurocrisis: 2	loveeurope: 2	leaveeu: 2	midden: 2	eu: 2	wtobrexit: 1	
2019-11-07,0,7,14,exiteu: 14	britishindependence: 14	loveeurope: 14	leaveeu: 14	backwater: 11	eu: 3	austerity: 2	transferunion: 2	midden: 2	eurokrise: 2	
2019-11-08,3,3,7,exiteu: 7	britishindependence: 7	loveeurope: 7	leaveeu: 7	backwater: 7	invest: 3	investment: 3	treasurybills: 3	eurobonds: 3	ezb: 2	
2019-11-09,0,3,7,exiteu: 6	britishindependence: 5	loveeurope: 5	leaveeu: 5	backwater: 5	euro: 2	ezb: 2	notmynationalinterest: 2	bargeld: 1	edis: 1	
2019-11-10,0,3,6,exiteu: 4	britishindependence: 3	loveeurope: 3	leaveeu: 3	backwater: 3	austerity: 3	eu: 3	bdl: 1	lebanonprotest: 1	eurobonds: 1	
2019-11-11,1,3,4,exiteu: 5	britishindependence: 4	loveeurope: 4	leaveeu: 4	backwater: 3	eurobonds: 2	remain: 2	dtek: 1	green: 1	renewable: 1	
2019-11-12,1,3,5,exiteu: 7	britishindependence: 4	loveeurope: 4	leaveeu: 4	backwater: 4	austerity: 2	bishopauckland: 1	eu: 1	bbcbreakfast: 1	remainers: 1	
2019-11-13,0,0,9,austerity: 5	eu: 3	eurobonds: 3	uk: 2	europe: 2	brexit: 2	recession: 1	mortality: 1	population: 1	lifeexpectancy: 1	
2019-11-14,1,3,7,eu: 6	exiteu: 3	austerity: 3	eurobonds: 3	brexit: 2	ge2019: 2	bonds: 2	britishindependence: 1	sorosbastard: 1	gammon: 1	
2019-11-15,2,4,3,austerity: 3	eu: 3	schuldenunion: 2	transferunion: 2	eurobonds: 2	nhs: 2	uk: 2	target: 1	niemehrcdu: 1	bolivia: 1	
2019-11-16,0,1,1,eurokrise: 2	migrationskrise: 1	griechenlandkrise: 1	hartz4: 1	löhne: 1	lohnstückkosten: 1	deutschland: 1	euroraum: 1	eu: 1	leistungsbilanz: 1	
2019-11-17,0,2,5,eu: 3	austerity: 2	exiteu: 2	lebanon: 1	lebanonprotests: 1	debt: 1	eurobonds: 1	لبنان__ينتفض: 1	لبنان_ينتفض: 1	nato: 1	
2019-11-18,0,6,7,exiteu: 10	britishindependence: 10	loveeurope: 10	leaveeu: 10	backwater: 10	ecb: 1	euro: 1	austerity: 1	learnmmt: 1	ge2019: 1	
2019-11-19,2,3,6,austerity: 5	exiteu: 3	eu: 3	britishindependence: 2	loveeurope: 2	leaveeu: 2	backwater: 2	eurocrisis: 1	eurobonds: 1	bakarainvest: 1	
2019-11-20,3,2,13,eurobonds: 6	eurokrise: 5	austerity: 3	eu: 3	armenia: 3	bonds: 3	exiteu: 3	britishindependence: 3	loveeurope: 3	leaveeu: 3	
2019-11-21,2,2,14,exiteu: 11	britishindependence: 11	loveeurope: 11	leaveeu: 11	backwater: 11	eurobonds: 3	austerity: 2	eu: 2	angola: 1	issue: 1	
2019-11-22,1,4,12,eurokrise: 6	eu: 4	exiteu: 3	britishindependence: 3	loveeurope: 3	leaveeu: 3	backwater: 3	transferunion: 3	austerity: 3	negativzinsen: 2	
2019-11-23,0,3,6,the: 3	a: 3	eu: 3	exiteu: 3	vote: 2	was: 2	for: 2	austerity: 2	absolutely: 1	correct: 1	
2019-11-24,0,3,9,exiteu: 7	britishindependence: 6	loveeurope: 6	leaveeu: 6	ge2019: 2	laxative: 2	eurokrise: 2	finanzkrise: 2	eu: 2	austerity: 2	
2019-11-25,0,0,7,eurobonds: 3	eu: 2	minuszinsen: 2	brexit: 1	austerity: 1	factcheckinglt: 1	lebanese: 1	sozialismus: 1	kapitalismus: 1	eurokrise: 1	
2019-11-26,2,1,5,austerity: 4	eu: 4	eurokrise: 2	ideology: 1	tscg: 1	livestream: 1	otr19: 1	eucivpro: 1	eusolidarity: 1	ireland: 1	
2019-11-27,2,4,14,exiteu: 8	britishindependence: 8	loveeurope: 8	leaveeu: 8	eurobonds: 6	costarica: 3	banctrust: 3	austerity: 2	eu: 2	lebanese: 2	
2019-11-28,2,3,8,exiteu: 4	britishindependence: 4	loveeurope: 4	leaveeu: 4	eu: 3	iinvest: 2	investment: 2	treasurybills: 2	eurobonds: 2	eusolidarity: 2	
2019-11-29,2,1,5,exiteu: 3	britishindependence: 3	loveeurope: 3	leaveeu: 3	eusolidarity: 2	eurobonds: 2	ge2019: 2	friyay: 1	albania: 1	albaniaearthquake: 1	
2019-11-30,2,2,0,exiteu: 3	britishindependence: 3	loveeurope: 2	leaveeu: 2	eu: 1	eusolidarity: 1	
2019-12-01,2,2,3,exiteu: 3	britishindependence: 3	loveeurope: 3	leaveeu: 3	ge2019: 2	eurokraten: 1	klimawandel: 1	migration: 1	eurokrise: 1	bankenkrise: 1	
2019-12-02,4,0,5,eusolidarity: 4	eu: 2	vdlcommission: 2	exiteu: 2	britishindependence: 2	loveeurope: 2	leaveeu: 2	eurobonds: 2	macron: 1	austerity: 1	
2019-12-03,15,1,6,eusolidarity: 13	eubudget: 12	cohesionpolicy: 12	eustrivesformore: 12	austerity: 3	eu: 3	eurobonds: 2	exiteu: 2	eurokrise: 2	election2019: 1	
2019-12-04,9,3,6,eusolidarity: 7	eu: 6	eubudget: 6	cohesionpolicy: 6	eustrivesformore: 4	euro: 3	transferunion: 3	exiteu: 3	austerity: 3	ezb: 2	
2019-12-05,1,4,8,exiteu: 5	britishindependence: 4	loveeurope: 4	leaveeu: 4	remain: 3	brexit: 3	eurobonds: 3	appeasers: 2	eurocrisis: 2	iinvest: 2	
2019-12-06,5,4,8,exiteu: 7	britishindependence: 7	loveeurope: 7	leaveeu: 7	remain: 5	appeasers: 5	austerity: 5	eu: 5	ge2019: 4	laxative: 3	
2019-12-07,0,6,9,exiteu: 8	britishindependence: 8	loveeurope: 8	leaveeu: 8	remain: 4	austerity: 4	eu: 4	appeasers: 3	eurokrise: 3	swampyvote: 1	
2019-12-08,2,5,4,austerity: 5	eu: 5	exiteu: 5	britishindependence: 5	loveeurope: 5	leaveeu: 5	remain: 3	appeasers: 3	brexit: 2	poverty: 2	
2019-12-09,2,1,7,austerity: 4	brexit: 3	eu: 3	europa: 2	austerität: 2	exiteu: 2	britishindependence: 2	loveeurope: 2	leaveeu: 2	ge2019: 1	
2019-12-10,3,3,5,austerity: 3	eu: 3	ge2019: 3	schuldenunion: 2	laxative: 2	exiteu: 2	britishindependence: 2	loveeurope: 2	leaveeu: 2	politikversagen: 2	
2019-12-11,0,9,7,exiteu: 11	ge2019: 10	britishindependence: 9	loveeurope: 8	leaveeu: 8	laxative: 7	eu: 4	austerity: 2	ezb: 1	euro: 1	
2019-12-12,2,7,14,exiteu: 14	britishindependence: 14	loveeurope: 14	leaveeu: 14	ge2019: 13	laxative: 11	austerity: 5	brexit: 3	eu: 3	eurokrise: 2	
2019-12-13,2,12,25,exiteu: 36	britishindependence: 34	leaveeu: 34	loveeurope: 33	ge2019: 27	laxative: 5	rejoineu: 2	retards: 2	europe: 1	justice: 1	
2019-12-14,0,8,10,exiteu: 16	britishindependence: 12	loveeurope: 12	leaveeu: 12	ge2019: 11	brexit: 4	remain: 2	austerity: 2	laxative: 1	generalelectionresults2019: 1	
2019-12-15,3,0,15,exiteu: 11	ge2019: 10	britishindependence: 10	loveeurope: 10	leaveeu: 10	eurobonds: 3	iinvest: 2	treasurybills: 2	investments: 2	austerity: 2	
2019-12-16,0,2,10,exiteu: 8	britishindependence: 8	loveeurope: 8	leaveeu: 8	ge2019: 7	bankenrettung: 2	eu: 2	euro: 2	ezb: 2	transferunion: 2	
2019-12-17,1,7,10,exiteu: 16	ge2019: 15	britishindependence: 15	loveeurope: 14	leaveeu: 14	eu: 3	remain: 2	british: 2	brexit: 1	eurocrisis: 1	
2019-12-18,3,12,14,exiteu: 27	britishindependence: 25	loveeurope: 25	leaveeu: 25	ge2019: 24	laxative: 3	eu: 2	brexit: 1	exitun: 1	austerity: 1	
2019-12-19,0,4,6,exiteu: 6	ge2019: 5	britishindependence: 5	loveeurope: 5	leaveeu: 5	eu: 2	austerity: 2	bse: 1	linkekraft: 1	labour: 1	
2019-12-20,1,5,9,exiteu: 10	britishindependence: 10	loveeurope: 10	leaveeu: 10	ge2019: 9	eu: 3	austerity: 2	euro: 1	ezb: 1	target2: 1	
2019-12-21,2,5,3,ge2019: 6	exiteu: 6	britishindependence: 6	loveeurope: 6	leaveeu: 6	eu: 4	austerity: 4	tory: 2	europe: 1	asylum: 1	
2019-12-22,0,3,3,exiteu: 4	ge2019: 3	britishindependence: 3	loveeurope: 3	leaveeu: 3	reformneeded: 1	crushglobalism: 1	ukraine: 1	debt: 1	eurobonds: 1	
2019-12-23,0,3,3,eurokrise: 2	austerity: 2	europe: 2	exiteu: 2	deutschland: 1	masseneinwanderung: 1	energieversorgung: 1	ge2019: 1	britishindependence: 1	loveeurope: 1	
2019-12-24,1,1,5,exiteu: 5	britishindependence: 4	ge2019: 3	leaveeu: 3	loveeurope: 2	eurobonds: 1	euro: 1	austerity: 1	outlawun: 1	crushglobalism: 1	
2019-12-25,1,3,0,exiteu: 3	ge2019: 2	britishindependence: 2	loveeurope: 2	leaveeu: 2	brexit: 1	exitun: 1	merkel: 1	eurokrise: 1	atomausstieg: 1	
2019-12-26,0,6,7,exiteu: 9	britishindependence: 9	loveeurope: 9	leaveeu: 9	ge2019: 7	eu: 3	brexit: 2	transferunion: 2	foxgate: 2	freedoms: 1	
2019-12-27,3,2,3,foxingdaymassacre: 3	exiteu: 3	britishindependence: 3	iamrenard: 2	eurokrise: 2	flüchtlingskrise: 2	lebanon: 1	eurobonds: 1	falsedichotomy: 1	eurozone: 1	
2019-12-28,1,2,2,merkel: 3	eu: 2	euro: 2	ezb: 2	esm: 2	bundesbank: 2	transferunion: 2	target2: 2	cdu: 2	csu: 2	
2019-12-29,0,6,6,exiteu: 7	dissolveun: 5	crushglobalism: 5	ge2019: 2	britishindependence: 2	loveeurope: 2	leaveeu: 2	eu: 2	austerity: 2	transferunion: 2	
2019-12-30,2,2,6,exiteu: 6	britishindependence: 5	loveeurope: 4	leaveeu: 4	ge2019: 3	iinvest: 2	treasurybills: 2	eurobonds: 2	investments: 2	remain: 2	
2019-12-31,0,3,6,exiteu: 6	britishindependence: 5	loveeurope: 3	leaveeu: 3	ge2019: 3	austerity: 2	foxingdaymassacre: 1	remain: 1	choplogic: 1	iinvest: 1	
2020-01-01,2,1,3,austerity: 3	ge2019: 3	exiteu: 3	britishindependence: 3	loveeurope: 3	leaveeu: 3	myalgice: 2	severeme: 2	refugeeswelcome: 2	antiracism: 2	
2020-01-02,2,3,8,exiteu: 5	austerity: 4	leaveeu: 4	eu: 3	eurokrise: 3	ge2019: 3	britishindependence: 3	loveeurope: 3	imk2020: 2	leitzinsen: 2	
2020-01-03,0,3,7,exiteu: 8	britishindependence: 7	loveeurope: 7	leaveeu: 7	ge2019: 6	eu: 2	imf: 2	austerity: 2	stopinvasion: 1	remain: 1	
2020-01-04,0,4,12,exiteu: 13	britishindependence: 12	ge2019: 11	loveeurope: 11	leaveeu: 11	prevelakis: 1	eurocrisis: 1	exit: 1	euexit: 1	iinvest: 1	
2020-01-05,0,4,8,exiteu: 9	britishindependence: 8	ge2019: 7	loveeurope: 6	leaveeu: 6	politics: 1	europe: 1	eu: 1	finland: 1	populism: 1	
2020-01-06,0,6,10,ge2019: 12	exiteu: 12	britishindependence: 12	loveeurope: 12	leaveeu: 12	eu: 3	austerity: 2	iinvest: 1	treasurybills: 1	eurobonds: 1	
2020-01-07,2,3,7,exiteu: 8	britishindependence: 8	loveeurope: 8	leaveeu: 8	ge2019: 7	finanzkrise: 1	eurokrise: 1	wirtschaftskrise: 1	austerity: 1	eu: 1	
2020-01-08,2,2,3,exiteu: 4	ge2019: 3	britishindependence: 3	loveeurope: 2	leaveeu: 2	eurokrise: 1	armut: 1	obdachlosigkeit: 1	sozialenungleichheit: 1	eusolidarity: 1	
2020-01-09,1,1,5,exiteu: 5	britishindependence: 4	loveeurope: 4	leaveeu: 4	ge2019: 2	eusolidarity: 1	euro: 1	eu: 1	ezb: 1	pensionskassen: 1	
2020-01-10,1,4,4,exiteu: 8	ge2019: 7	britishindependence: 7	loveeurope: 6	leaveeu: 6	labourleadet: 1	eusolidarity: 1	euforalbania: 1	eurules: 1	poland: 1	
2020-01-11,1,0,9,exiteu: 8	ge2019: 6	britishindependence: 6	loveeurope: 6	leaveeu: 6	france: 2	macronmustgo: 2	freedomofvoice: 1	frexit: 1	yellowvests: 1	
2020-01-12,2,3,7,exiteu: 8	britishindependence: 6	loveeurope: 6	leaveeu: 6	ge2019: 5	remain: 2	eu: 2	eurokrise: 2	rejoin: 1	austerity: 1	
2020-01-13,2,5,11,exiteu: 9	ge2019: 5	britishindependence: 5	loveeurope: 5	leaveeu: 5	eu: 3	eurokrise: 2	transferunion: 2	eurocrisis: 2	merkel: 2	
2020-01-14,0,0,7,exiteu: 3	britishindependence: 3	loveeurope: 3	leaveeu: 3	eurobonds: 3	the: 2	ge2019: 2	hollywood: 1	theatre: 1	jeesica: 1	
2020-01-15,0,1,10,eurobonds: 5	austerity: 4	eu: 3	ge2019: 2	exiteu: 2	britishindependence: 2	loveeurope: 2	leaveeu: 2	lebanon: 2	brexit: 1	
2020-01-16,0,3,16,exiteu: 10	britishindependence: 10	loveeurope: 10	leaveeu: 10	ge2019: 8	eurobonds: 7	keeponkeepingon: 3	igm: 2	banks: 2	groko: 2	
2020-01-17,1,3,8,eu: 4	austerity: 4	exiteu: 4	brexit: 3	iinvest: 3	treasurybills: 3	eurobonds: 3	investments: 3	nhs: 2	britishindependence: 2	
2020-01-18,0,2,14,exiteu: 12	ge2019: 11	britishindependence: 11	loveeurope: 10	leaveeu: 10	eurobonds: 2	projectfear: 2	lebanese: 1	poverty: 1	eu: 1	
2020-01-19,1,2,6,exiteu: 6	britishindependence: 6	loveeurope: 6	leaveeu: 6	ge2019: 5	eurokrise: 2	eu: 2	tamponsteuer: 1	kassenbonpflicht: 1	massenmigration: 1	
2020-01-20,1,4,7,exiteu: 7	britishindependence: 6	loveeurope: 6	leaveeu: 6	eurobonds: 3	remain: 3	brexit: 2	investments: 2	brokerage: 2	bonds: 2	
2020-01-21,1,2,8,exiteu: 8	loveeurope: 7	leaveeu: 7	britishindependence: 6	remain: 4	ge2019: 3	delusional: 3	contemptible: 3	eurokrise: 2	choplogic: 2	
2020-01-22,0,0,10,ge2019: 4	exiteu: 4	britishindependence: 4	loveeurope: 4	leaveeu: 4	eurobonds: 4	pathetic: 1	rating: 1	eurokrise: 1	krieg: 1	
2020-01-23,0,1,10,exiteu: 5	britishindependence: 5	loveeurope: 5	leaveeu: 5	ge2019: 4	eurobonds: 3	eurokrise: 2	remain: 2	fiscaldevaluation: 1	eurocrisis: 1	
2020-01-24,0,0,7,exiteu: 4	britishindependence: 4	loveeurope: 3	leaveeu: 3	eurokrise: 2	choplogic: 1	keepingupwiththebourse: 1	stocks: 1	bonds: 1	eurobonds: 1	
2020-01-25,1,7,14,exiteu: 15	loveeurope: 11	leaveeu: 11	britishindependence: 11	eurobonds: 5	ge2019: 5	lebanon: 2	remain: 2	reformneeded: 2	eurokrise: 2	
2020-01-26,0,2,12,exiteu: 12	loveeurope: 11	leaveeu: 10	britishindependence: 10	ge2019: 9	remain: 2	yellowvest: 1	france: 1	austerity: 1	emmanuelmacron: 1	
2020-01-27,2,2,9,exiteu: 9	loveeurope: 8	leaveeu: 8	britishindependence: 8	eurobonds: 3	remain: 2	delusional: 2	drag_anchors: 2	reformneeded: 1	foxingdaymassacre: 1	
