id;date;text;Ying;Daniel;Dan;Tobias;Agreement
1201855127432421376;Tue Dec 03 13:26:06 +0000 2019;"Thank you to everyone who responded to our Christmas appeal - the response has been amazing!! 
It’s not too late to make donations to our hardship fund to support us in giving additional payments to destitute #asylumseekers over the festive period: http://www.justgiving.com/wers";1;1;1;1;1
1254707922753503232;Mon Apr 27 09:44:14 +0000 2020;Many thanks to @SYCF1986 for the #NETCoronavirusAppeal grant! This funding will help us keep running the Virtual Sanctuary, providing practical and essential support to #refugees and #asylumseekers in Sheffield and keeping those #seekingsanctuary included and connected.;1;1;1;1;1
1244001016082837506;Sat Mar 28 20:38:49 +0000 2020;"I've always believed in the idea of the #EU, I've defended it. Always.
But I'm so disappointed in some of its countries right now and I'm appalled at #vonderLeyen behavior in this situation.


#Eurobonds
#";1;3;1;3;?
1225454161224925184;Thu Feb 06 16:20:14 +0000 2020;#Turkey selling 5-year and 10-year #eurobonds. Init price guid 4.65%,5.65%,resp #DebtMarkets http://bit.ly/39b5dwU;4;4;4;4;4
1246093187489374208;Fri Apr 03 15:12:21 +0000 2020;#Eurobonds halte ich nur für sinnvoll, wenn sie mit einem #EuroTreasury kommen und mehr Demokratie in 🇪🇺. Gemeinschaftliche Haftung von allen für nationale Schulden halte ich für nicht zielführend. So etwas hat keine einzige andere Währungsunion.;3;3;3;4;3
1219924235583397888;Wed Jan 22 10:06:17 +0000 2020;"There Should Be No Hierarchy of Rights for Displaced Children 


#EuropeanUnion #France #Greece #HumanRights #Italy #Migration #OpenDemocracy #Racism #RefugeeCrisis #Refugees #RefugeesWelcome


https://redrevolution.co.uk/2020/01/22/there-should-be-no-hierarchy-of-rights-for-displaced-children/";1;1;1;1;1
1176427506158788609;Tue Sep 24 09:25:49 +0000 2019;"The Aegean Observatory offers a systematic and comprehensive recording of multiple dimensions of the refugee and migration crisis. #refugeecrisis #migration
#recording


https://refugeeobservatory.aegean.gr/en";3;4;3;3;3
1200093256308146176;Thu Nov 28 16:45:03 +0000 2019;"Appell: Geflüchtete Minderjährige aus Griechenland aufnehmen
https://inforiot.de/appell-gefluechtete-minderjaehrige-aus-griechenland-aufnehmen/
#WirHabenPlatz #RefugeesWelcome";1;1;1;1;1
1238128052544188416;Thu Mar 12 15:41:45 +0000 2020;"EU Calls on #Greece to Investigate Violence Against Asylum Seekers 


#EuropeanUnion #HumanRights #MiddleEastMonitor #RefugeeCrisis #RefugeesWelcome #Syria #Turkey


https://redrevolution.co.uk/2020/03/12/eu-calls-on-greece-to-investigate-violence-against-asylum-seekers/";1;1;1;1;1
1205172978243264514;Thu Dec 12 17:10:03 +0000 2019;"Der &gt;&gt;Jugendliche&lt;&lt; ist #Flüchtling aus Afghanistan #Wirschaffendas https://www.tag24.de/nachrichten/floeha-jugendlicher-soll-jungen-8-jahre-sexuell-missbraucht-haben-polizei-u-haft-1316602";2;2;3;2;2
1168865514866782208;Tue Sep 03 12:37:09 +0000 2019;"#refugeecrisis ""They are people, not numbers.There is no ‘the others’ – there is only ‘us’."" c MSF  RT";1;1;1;1;1
1233758611328901121;Sat Feb 29 14:19:09 +0000 2020;A fabulous day of networking, sharing and learning at our conference in #Glasgow today! We are incredibly inspired by churches' work with #refugees and #asylumseekers in this city! #RefugeesWelcome;1;1;1;1;1
1247492016013000709;Tue Apr 07 11:50:48 +0000 2020;"Tja, das war schon bei der #Flüchtlingskrise 2015 so und wiederholt sich bei der #CoronaKrise 2020 wieder. 


https://orf.at/stories/3160878";3;3;4;2;?
1245981338039132160;Fri Apr 03 07:47:54 +0000 2020;"@ZDFheute @DanielPontzen Was Deutschland die letzten Jahre erreicht hat?


1. Korea vor Neid erblassen lassen
2. Das Land gespalten
3. Reiche noch reicher, arme noch ärmer
4. Schulbildung, Bildung darf man garnicht dazu sagen
5. Rentner sammeln Flaschen
6. GEZ und Diäten erhöht


#WirSchaffenDas ✋🏻";2;3;4;1;?
1183437562846863361;Sun Oct 13 17:41:16 +0000 2019;Wassertaxi...nächste Episode #Wirschaffendas https://www.stern.de/panorama/-ocean-viking--rettet-74-migranten-vor-libyen-8951490.html?utm_campaign=artikel-header&utm_medium=share&utm_source=facebook;1;2;3;2;?
1205793817309237249;Sat Dec 14 10:17:03 +0000 2019;"If Germany had Britain's logical sense, there would not be looking at mounting #RefugeeCrisis while dragging down rest of Europe with them just to clean the stains of last century.


#justsaying https://twitter.com/washingtonpost/status/1205531090146004995";2;2;2;2;2
1206485594651668480;Mon Dec 16 08:05:55 +0000 2019;Syrian or Afghan refugees at the camp in Gevgelija, Macedonia, 2017. Photo by @piotrmalecki for @britishredcross #refugeecamp #refugeecrisis #documentaryphotography #photojournalism #syriawar #canonpolska… https://www.instagram.com/p/B6ID_MUnmoa/?igshid=1qdcadkbckxz4;3;4;3;3;3
1219970750867759104;Wed Jan 22 13:11:07 +0000 2020;"#Ukraine to release first ten years-long #Eurobonds this year, - Finance Ministry
https://112.international/finance/ukraine-to-release-first-ten-years-long-eurobonds-this-year-finance-ministry-47762.html";4;4;4;4;4
1244187211643400193;Sun Mar 29 08:58:41 +0000 2020;This idea of the corrupt and lazy south is absolutely ridiculous. HOW DOES A GOVERNMENT OFFICER EXPRESSES THIS OUT LOUD??? #COVIDEU #Eurobonds;3;2;4;1;?
1182641941437206528;Fri Oct 11 12:59:45 +0000 2019;It’s been over 7 years since @WayneAnytimeFit , the crew and I rowed the channel. Tonight, I’m going back but for very different reasons. #refugeecrisis #calais;3;3;3;1;3
1236988756718223361;Mon Mar 09 12:14:36 +0000 2020;When they were welcomed - Lesbos Island, Greece, 2016. #refugees #migrants #refugeecrisis #greece #lesbos #lesvos #turkey #Mediterranea #bordes;1;3;3;1;?
1185241990184787968;Fri Oct 18 17:11:25 +0000 2019;Die üblichen Verdächtigen...#Wirschaffendas https://www.bz-berlin.de/tatort/dieser-mann-soll-zwei-maedchen-12-13-belaestigt-haben;4;2;4;2;?
1191382464347987970;Mon Nov 04 15:51:28 +0000 2019;41 migrants alive in refrigerated truck in #Greece | Police arrest driver as seven people are taken to hospital for first aid https://www.theguardian.com/world/2019/nov/04/police-find-41-migrants-alive-in-refrigerated-truck-in-greece #RefugeeCrisis #HumanRights #SavePassage #EUTurkeyDeal;1;4;3;1;?
1246770461700247552;Sun Apr 05 12:03:36 +0000 2020;Weiter geht's! #LeaveNoOneBehind #WirHabenPlatz #RefugeesWelcome #opentheborders Infos: http://il-luebeck.org;1;1;1;1;1
1249093875614048261;Sat Apr 11 21:56:01 +0000 2020;There is at least one country in the euro zone that resists understanding that sharing a common currency implies sharing a common effort.' #COVID2019 #EU #Hoekstra #Netherlands #Eurobonds https://www.express.co.uk/news/world/1267873/EU-Netherlands-Portugal-threat-Brussels-eurozone-coronavirus-corona-bonds-latest;2;1;1;1;1
1253370209307680774;Thu Apr 23 17:08:39 +0000 2020;"#Leipzig has space for people from the EU-Hotspots! Show your support for the evacuation of these camps by sending us your pictures in front of empty buildings in Leipzig - Let's say it loud and clear: #WirHabenPlatz #RefugeesWelcome


#LeaveNoOneBehind";1;1;1;1;1
1204723257032761344;Wed Dec 11 11:23:01 +0000 2019;#refugees #refugeecrisis 1 author encyclopedia site:Will Islam take over Europe or will #Muslims gradually integrate http://bit.ly/SesVJ7;3;3;3;3;3
1187027823275446274;Wed Oct 23 15:27:41 +0000 2019;"39 bodies locked in a metal container, a refrigerated unit, where temperatures could be as low as -25C.
 #RefugeeCrisis https://twitter.com/viralizeed/status/1186942686621769728";3;3;4;1;?
1175137455575642112;Fri Sep 20 19:59:37 +0000 2019;@NikolausBlome @AntjeHermenau Hier ist meine Sicht. Der wahre Grund für diesen Klimawahnsinn: Die #Benzinsteuer zur Bewältigung der #Flüchtlingskrise. Nun kommt sie doch, aber schön durch Klimaschutz getarnt. #FridaysForFuture #Klimastreik;4;4;4;2;4
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
